,Metric,PRST,SPY
0,Best Day,160.43%,9.06%
1,Best Month,110.76%,12.7%
2,Best Year,-1.31%,27.04%
3,CAGR,-58.52%,8.76%
4,CPC Index,0.47,0.59
5,Calmar,-0.59,0.26
6,Common Sense Ratio,0.84,1.11
7,Cumulative Return,-98.44%,83.71%
8,Daily Value-at-Risk,-0.16,-0.02
9,Expected Daily,-0.5%,0.05%
10,Expected Monthly,-9.88%,1.0%
11,Expected Yearly,-64.67%,10.67%
12,Gain/Pain Ratio,-0.05,0.14
13,Kurtosis,95.97,11.51
14,Max Drawdown,-98.48%,-34.1%
15,Payoff Ratio,1.05,0.96
16,Prob. Sharpe Ratio,37.66%,93.44%
17,Profit Factor,0.95,1.14
18,Recovery Factor,0.93,2.11
19,Risk of Ruin,0.0%,0.0%
20,Sharpe,-0.18,0.69
21,Skew,6.22,-0.55
22,Smart Sharpe,-0.16,0.58
23,Smart Sortino,-0.29,0.81
24,Smart Sortino/√2,-0.21,0.57
25,Sortino,-0.33,0.96
26,Sortino/√2,-0.23,0.68
27,Tail Ratio,0.89,0.98
28,Ulcer Index,0.58,0.1
29,Volatility (ann.),155.44%,21.01%
30,Worst Day,-40.29%,-10.94%
31,Worst Month,-78.93%,-13.0%
32,Worst Year,-77.12%,-19.48%


,Date,PRST,SPY
0,01/02/2020,,0.94
1,01/02/2024,-4.14,-0.56
2,01/03/2020,,-0.76
3,01/03/2022,-0.1,0.58
4,01/03/2023,-5.68,-0.42
5,01/03/2024,1.96,-0.82
6,01/04/2021,,-1.36
7,01/04/2022,0.1,-0.03
8,01/04/2023,0.93,0.77
9,01/04/2024,-11.54,-0.32
10,01/05/2021,,0.69
11,01/05/2022,0.3,-1.92
12,01/05/2023,5.96,-1.14
13,01/05/2024,-3.48,0.14
14,01/06/2020,,0.38
15,01/06/2021,,0.6
16,01/06/2022,-0.1,-0.09
17,01/06/2023,-3.03,2.29
18,01/07/2020,,-0.28
19,01/07/2021,,1.49
20,01/07/2022,-0.2,-0.4
21,01/08/2020,,0.53
22,01/08/2021,,0.57
23,01/08/2024,-9.46,1.43
24,01/09/2020,,0.68
25,01/09/2023,2.68,-0.06
26,01/09/2024,-3.48,-0.15
27,01/10/2020,,-0.29
28,01/10/2022,-0.1,-0.12
29,01/10/2023,-2.61,0.7
30,01/10/2024,-12.89,0.57
31,01/11/2021,,-0.67
32,01/11/2022,0.0,0.91
33,01/11/2023,10.04,1.26
34,01/11/2024,-7.1,-0.04
35,01/12/2021,,0.02
36,01/12/2022,0.2,0.27
37,01/12/2023,5.88,0.36
38,01/12/2024,0.32,0.07
39,01/13/2020,,0.69
40,01/13/2021,,0.27
41,01/13/2022,-0.05,-1.38
42,01/13/2023,8.43,0.39
43,01/14/2020,,-0.15
44,01/14/2021,,-0.35
45,01/14/2022,-0.05,0.04
46,01/15/2020,,0.23
47,01/15/2021,,-0.73
48,01/16/2020,,0.83
49,01/16/2024,-7.62,-0.37
50,01/17/2020,,0.31
51,01/17/2023,1.06,-0.18
52,01/17/2024,1.72,-0.56
53,01/18/2022,0.0,-1.77
54,01/18/2023,-9.09,-1.58
55,01/18/2024,-15.2,0.89
56,01/19/2021,,0.79
57,01/19/2022,0.4,-1.04
58,01/19/2023,-5.77,-0.73
59,01/19/2024,15.54,1.25
60,01/20/2021,,1.38
61,01/20/2022,0.0,-1.11
62,01/20/2023,2.86,1.86
63,01/21/2020,,-0.2
64,01/21/2021,,0.09
65,01/21/2022,0.1,-1.96
66,01/22/2020,,0.01
67,01/22/2021,,-0.35
68,01/22/2024,8.62,0.21
69,01/23/2020,,0.11
70,01/23/2023,26.19,1.2
71,01/23/2024,-8.25,0.29
72,01/24/2020,,-0.89
73,01/24/2022,-0.1,0.42
74,01/24/2023,5.35,-0.11
75,01/24/2024,-8.3,0.11
76,01/25/2021,,0.39
77,01/25/2022,0.2,-1.22
78,01/25/2023,-8.36,0.04
79,01/25/2024,-9.43,0.54
80,01/26/2021,,-0.16
81,01/26/2022,-0.2,-0.25
82,01/26/2023,-1.63,1.1
83,01/26/2024,10.0,-0.13
84,01/27/2020,,-1.6
85,01/27/2021,,-2.44
86,01/27/2022,0.1,-0.49
87,01/27/2023,12.58,0.23
88,01/28/2020,,1.05
89,01/28/2021,,0.86
90,01/28/2022,0.0,2.48
91,01/29/2020,,-0.08
92,01/29/2021,,-2.0
93,01/29/2024,6.06,0.79
94,01/30/2020,,0.32
95,01/30/2023,-13.53,-1.25
96,01/30/2024,-12.86,-0.08
97,01/31/2020,,-1.82
98,01/31/2022,-0.2,1.8
99,01/31/2023,12.24,1.47
